epoch,train_loss,train_recon,train_vq,val_loss,val_recon,val_vq,lr,time_s
181,18.110181,14.831204,3.278976,18.338212,15.180475,3.157737,5.4e-05,4.2
182,18.032906,14.778009,3.254897,18.462502,15.229838,3.232665,5.0e-05,4.3
183,18.138008,14.855337,3.282671,18.331803,15.160328,3.171475,4.5e-05,4.1
184,18.082503,14.805634,3.276869,18.476045,15.285670,3.190375,4.1e-05,4.3
185,18.112559,14.832858,3.279701,18.391579,15.150977,3.240603,3.7e-05,4.4
186,18.112789,14.814200,3.298589,18.459305,15.201467,3.257838,3.4e-05,4.2
187,18.119797,14.835563,3.284234,18.207711,15.098449,3.109262,3.1e-05,4.4
188,18.090182,14.831886,3.258296,18.288501,15.196665,3.091836,2.8e-05,4.2
189,18.013292,14.771215,3.242077,18.533553,15.232437,3.301116,2.5e-05,4.4
190,17.988230,14.730214,3.258015,18.500806,15.197819,3.302987,2.2e-05,4.3
191,18.052950,14.783490,3.269459,18.197268,15.078010,3.119258,2.0e-05,4.2
192,18.098936,14.817786,3.281150,18.320590,15.127282,3.193308,1.8e-05,4.3
193,18.049736,14.776666,3.273070,18.477721,15.259640,3.218080,1.6e-05,4.3
194,18.123901,14.838535,3.285367,18.509590,15.239557,3.270033,1.4e-05,4.2
195,18.058070,14.780647,3.277423,18.221416,15.038858,3.182559,1.3e-05,4.4
196,18.000256,14.742837,3.257419,18.356437,15.153187,3.203250,1.2e-05,4.3
197,17.999360,14.753035,3.246325,18.309241,15.114959,3.194282,1.1e-05,4.4
198,18.002070,14.747315,3.254755,18.355945,15.197037,3.158908,1.0e-05,4.3
199,18.047713,14.764237,3.283476,18.443843,15.179654,3.264189,1.0e-05,4.4
200,17.996999,14.726648,3.270351,18.343713,15.144933,3.198781,1.0e-05,4.3
