iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
261,26.94,21.1672,29.5876,23.1131,0.3842,1.0e-04,,,5.4
262,26.90,21.2570,29.0133,23.1965,0.3770,1.0e-04,,,5.4
263,26.34,20.9992,28.4199,23.1729,0.3551,1.0e-04,,,5.4
264,26.18,20.5344,28.7699,23.1838,0.3860,1.0e-04,,,5.4
265,26.80,21.2180,28.9518,22.9812,0.3830,1.0e-04,,,5.4
266,26.89,21.2781,28.4034,22.9271,0.3834,1.0e-04,,,5.4
267,26.18,20.4957,28.5081,22.9722,0.3862,1.0e-04,,,5.4
268,27.19,21.5117,28.5551,22.8700,0.3816,1.0e-04,,,5.4
269,26.64,21.0500,28.9521,22.9948,0.3789,1.0e-04,,,5.4
270,27.52,21.7199,29.6342,22.9399,0.3887,1.0e-04,24.97,0.25,5.4
271,26.51,20.8379,28.5653,23.1434,0.3902,1.0e-04,,,5.4
272,26.59,20.9598,27.8941,22.8085,0.3825,1.0e-04,,,5.4
273,27.15,21.5625,29.0181,22.9395,0.3889,1.0e-04,,,5.4
274,27.03,21.2699,27.8219,22.8492,0.3958,1.0e-04,,,5.4
275,27.06,21.1902,28.7857,23.0256,0.3960,1.0e-04,,,5.4
276,25.74,20.0719,28.7086,22.9991,0.3856,1.0e-04,,,5.4
277,27.33,21.6313,28.9670,22.7546,0.3728,1.0e-04,,,5.4
278,27.78,22.1406,28.9151,22.8915,0.3743,1.0e-04,,,5.4
279,26.03,20.5750,28.9277,23.1818,0.3893,1.0e-04,,,5.4
280,26.98,21.3723,29.8628,23.2852,0.3862,1.0e-04,25.19,0.23,5.4
281,26.17,20.7047,27.7707,22.9213,0.3762,1.0e-04,,,5.4
282,26.75,21.2527,28.2743,22.8908,0.3717,1.0e-04,,,5.4
283,26.67,21.1828,28.0672,22.9473,0.3638,1.0e-04,,,5.4
284,26.26,20.9043,27.4239,22.6699,0.3727,1.0e-04,,,5.4
285,26.99,21.3516,28.6480,23.0756,0.3799,1.0e-04,,,5.4
286,27.77,22.1816,29.6089,22.9646,0.3762,1.0e-04,,,5.4
287,26.59,20.9684,29.1611,22.9662,0.3775,1.0e-04,,,5.4
288,27.27,21.7809,30.2815,23.1896,0.3679,1.0e-04,,,5.4
289,26.88,21.4504,28.4465,23.0650,0.3597,1.0e-04,,,5.4
290,26.25,20.9059,31.1593,23.3402,0.3672,1.0e-04,25.06,0.21,5.4
291,25.37,19.9785,27.6318,23.2084,0.3665,1.0e-04,,,5.4
292,26.60,21.1094,29.7188,23.2191,0.3760,1.0e-04,,,5.4
293,25.75,20.2383,29.0227,23.2137,0.3760,1.0e-04,,,5.4
294,26.61,21.0957,29.5965,22.9908,0.3743,1.0e-04,,,5.4
295,27.77,22.0375,28.9986,22.9954,0.3842,1.0e-04,,,5.4
296,27.24,21.2766,28.3503,22.8505,0.3987,1.0e-04,,,5.4
297,28.29,22.3859,29.5160,22.7137,0.3871,1.0e-04,,,5.4
298,26.67,20.8516,28.7658,22.9230,0.3930,1.0e-04,,,5.4
299,26.71,21.0363,27.6150,22.7308,0.3868,1.0e-04,,,5.4
300,27.36,21.5469,29.0115,22.8720,0.3862,1.0e-04,25.32,0.26,5.4
301,27.19,21.4902,29.3939,22.9040,0.3954,1.0e-04,,,5.4
302,26.60,21.0629,27.2128,22.9188,0.3705,1.0e-04,,,5.4
303,26.36,20.7539,28.7885,22.9405,0.3822,1.0e-04,,,5.4
304,27.30,21.5785,29.4467,22.9896,0.3851,1.0e-04,,,5.4
305,26.95,21.3809,28.9872,22.8367,0.3690,1.0e-04,,,5.4
306,27.14,21.6641,29.5572,23.2573,0.3715,1.0e-04,,,5.4
307,25.71,20.1785,29.3415,23.0312,0.3852,1.0e-04,,,5.4
308,27.79,22.0090,29.4701,23.0959,0.3880,1.0e-04,,,5.4
309,26.88,21.3121,28.9404,22.8966,0.3855,1.0e-04,,,5.4
310,26.58,20.9840,28.6118,22.8463,0.3818,1.0e-04,24.94,0.20,5.4
311,26.13,20.7793,27.6404,22.9251,0.3552,1.0e-04,,,5.4
312,25.43,20.0680,28.4259,22.8371,0.3632,1.0e-04,,,5.4
313,26.03,20.5684,27.6974,22.8410,0.3774,1.0e-04,,,5.4
314,27.11,21.4711,29.9241,22.8321,0.3758,1.0e-04,,,5.4
315,26.49,20.9000,29.0863,22.8132,0.3787,1.0e-04,,,5.4
316,26.31,20.7324,28.4020,22.9409,0.3754,1.0e-04,,,5.4
317,26.27,20.4160,28.1009,22.8874,0.4003,1.0e-04,,,5.4
318,26.21,20.5129,29.1523,22.8915,0.3931,1.0e-04,,,5.4
