epoch,train_recon,train_slow,train_uniform,val_recon,lr,time_s
172,1.685542,0.403430,-3.720232,1.636091,5.7e-05,85.5
173,1.683788,0.403151,-3.719606,1.618585,5.4e-05,84.7
174,1.682681,0.402909,-3.720118,1.612303,5.1e-05,86.3
175,1.682174,0.403333,-3.721008,1.633136,4.8e-05,85.4
176,1.682038,0.403362,-3.720803,1.614850,4.5e-05,84.7
177,1.681319,0.403215,-3.721091,1.609447,4.2e-05,85.5
178,1.680492,0.403190,-3.721210,1.627938,3.9e-05,86.0
179,1.680438,0.403438,-3.721070,1.627026,3.7e-05,85.5
180,1.679731,0.403689,-3.721282,1.616838,3.4e-05,84.7
181,1.679259,0.403320,-3.720762,1.615520,3.2e-05,86.3
182,1.678562,0.403338,-3.721181,1.616677,3.0e-05,85.5
183,1.678607,0.403530,-3.721469,1.617214,2.8e-05,84.7
184,1.678392,0.403623,-3.721380,1.614617,2.6e-05,85.5
185,1.678559,0.403851,-3.722110,1.613492,2.4e-05,85.8
186,1.677972,0.404231,-3.721880,1.618227,2.2e-05,85.5
187,1.677321,0.404041,-3.721946,1.610287,2.0e-05,86.2
188,1.677533,0.404170,-3.722323,1.615893,1.9e-05,86.5
189,1.676925,0.404014,-3.722227,1.608938,1.7e-05,86.4
190,1.676411,0.403743,-3.722281,1.613390,1.6e-05,85.6
191,1.675753,0.404006,-3.722493,1.610027,1.5e-05,87.3
192,1.675734,0.403980,-3.721928,1.606377,1.4e-05,85.6
193,1.675244,0.403728,-3.721913,1.608508,1.3e-05,86.4
194,1.675373,0.403777,-3.721658,1.604540,1.2e-05,85.8
195,1.674644,0.403957,-3.721943,1.606006,1.2e-05,85.5
196,1.674402,0.403801,-3.722177,1.600438,1.1e-05,85.5
197,1.674720,0.403818,-3.721593,1.612155,1.1e-05,84.7
198,1.673839,0.403953,-3.721869,1.609290,1.0e-05,86.3
199,1.673710,0.403944,-3.722370,1.604176,1.0e-05,85.5
200,1.673731,0.403854,-3.722188,1.603051,1.0e-05,84.7
