epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
72,2.833117,2.680921,0.2626,0.8968,0.8289,0.8615,0.1522,2.958615,2.806741,0.2572,0.6341,0.8673,0.7326,0.1519,0.1255,3.1e-03,179.3
73,2.833348,2.681136,0.2625,0.8945,0.8246,0.8582,0.1522,2.972026,2.822966,0.2552,0.5946,0.8922,0.7136,0.1491,0.1387,3.1e-03,178.7
74,2.825601,2.674104,0.2635,0.8971,0.8273,0.8608,0.1515,2.957341,2.803916,0.2574,0.6403,0.8561,0.7326,0.1534,0.1317,3.0e-03,178.8
75,2.824416,2.671965,0.2640,0.9012,0.8388,0.8689,0.1525,2.972557,2.818251,0.2557,0.7179,0.8205,0.7658,0.1543,0.1481,3.0e-03,179.4
76,2.821897,2.669593,0.2643,0.8981,0.8344,0.8651,0.1523,2.966267,2.811541,0.2576,0.6573,0.8571,0.7440,0.1547,0.1444,3.0e-03,178.9
77,2.815943,2.663843,0.2654,0.8955,0.8288,0.8609,0.1521,2.959482,2.806427,0.2575,0.7612,0.7961,0.7783,0.1531,0.1435,2.9e-03,178.8
78,2.814726,2.663194,0.2655,0.9005,0.8354,0.8667,0.1515,2.954833,2.803149,0.2586,0.6221,0.8761,0.7276,0.1517,0.1401,2.9e-03,179.8
79,2.813070,2.661448,0.2657,0.9025,0.8317,0.8656,0.1516,2.952840,2.799667,0.2593,0.7317,0.8088,0.7683,0.1532,0.1398,2.9e-03,178.8
80,2.806990,2.655643,0.2665,0.9020,0.8361,0.8678,0.1513,2.968996,2.812217,0.2577,0.6703,0.8639,0.7549,0.1568,0.1620,2.9e-03,178.7
81,2.806103,2.654745,0.2669,0.8986,0.8343,0.8653,0.1514,2.965527,2.814249,0.2563,0.6253,0.8815,0.7316,0.1513,0.1594,2.8e-03,179.9
82,2.801843,2.650834,0.2674,0.9007,0.8345,0.8664,0.1510,2.966020,2.811155,0.2580,0.7509,0.8117,0.7801,0.1549,0.1642,2.8e-03,178.8
83,2.798940,2.647486,0.2680,0.9014,0.8375,0.8682,0.1515,2.963152,2.812606,0.2583,0.6634,0.8615,0.7496,0.1505,0.1642,2.8e-03,178.9
84,2.795982,2.644610,0.2684,0.9008,0.8340,0.8661,0.1514,2.947679,2.794579,0.2595,0.6929,0.8541,0.7651,0.1531,0.1517,2.8e-03,179.3
